ID	name	parentid	songs	enabled
1	B1	1	6	6
2	A2	1	10	10
3	C	1	23	22
4	A1	1	7	7
5	B2	1	13	13
6	X	1	12	12
7	Contest Effects	2	0	
8	Relaunch Sweepers	3	46	12
9	Liners	3	41	41
10	TOH IDs	4	31	12
11	Station Jingles	5	0	
12	Station Promos	6	14	14
13	Sponsor Commercials	7	0	
14	Paid Commercials	7	0	
15	Daily News	8	0	
16	Music Interviews	9	0	
17	Political Interviews	9	0	
18	My First Show	10	0	
19	My Second Show	10	0	
20	Other	11	0	
21	Syndicated Shows	11	0	
22	Syndicated News	11	0	
23	N	1	8	8
24	R1	1	22	22
25	R2	1	34	34
26	R3	1	42	42
27	G1990	1	187	186
28	G2000	1	152	150
29	G2010	1	166	165
30	H	1	101	94
31	F	1	5	4
32	Sonic Logos	3	0	
33	New-Music Sweepers	3	44	44
34	Gold Backsells	3	26	26
35	Heritage Backsells	3	0	
36	W	1	505	501
37	GDEEP	1	2	2
38	Z	1	5	5
39	ZN	1	148	148
40	TOH ES	4	0	
41	TOH FF	4	0	
42	TOH HD	4	0	
43	TOH CO	4	0	
44	TOH WW	4	0	
45	TOH WD	4	0	
46	TOH GH	4	0	
47	TOH EM	4	0	
48	TOH DN	4	0	
